frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
141.0,141.0,2.0,139.0,143.0,312.0,312.0,0.0,312.0,312.0,483.79999999999995,483.79999999999995,0.4000000000000057,483.4,484.2,0.0,0.0,0.0,0.0,0.0
141.0,141.0,2.0,139.0,143.0,312.0,312.0,0.0,312.0,312.0,483.79999999999995,483.79999999999995,0.4000000000000057,483.4,484.2,0.0,0.0,0.0,0.0,0.0
707.0,707.0,2.0,705.0,709.0,1434.5,1434.5,0.5,1434.0,1435.0,1793.1,1793.1,0.10000000000002274,1793.0,1793.2,0.0,0.0,0.0,0.0,0.0
356.0833333333333,152.5,506.62376874319233,0.0,2096.0,411.53333333333336,217.0,497.0427032850285,0.0,2163.0,435.13333333333327,137.39999999999998,578.7987602689634,0.0,2918.6,0.0,0.0,0.0,0.0,0.0
299.8333333333333,79.5,435.75861692251397,0.0,2096.0,446.55,153.5,555.4510006892297,0.0,2021.0,476.46666666666664,136.9,633.4260490030035,0.0,2419.2,0.0,0.0,0.0,0.0,0.0
395.48333333333335,150.5,530.8045620146416,0.0,2111.0,521.55,217.0,651.1619211071851,0.0,2024.0,573.9366666666666,135.89999999999998,788.1194059207583,0.0,2706.6,0.0,0.0,0.0,0.0,0.0
313.0,71.5,399.32096530652296,0.0,2110.0,473.95,155.0,573.497876340154,0.0,2020.0,522.9166666666666,136.0,672.3520598532356,0.0,2812.6,0.0,0.0,0.0,0.0,0.0
342.4166666666667,71.5,501.93333859078234,0.0,2110.0,421.6166666666667,153.5,520.6291735860457,0.0,2019.0,442.93333333333334,136.0,591.8811442248256,0.0,2508.4,0.0,0.0,0.0,0.0,0.0
407.43333333333334,79.5,578.9949731119337,0.0,2180.0,505.8666666666667,153.5,658.8667408681533,0.0,2131.0,560.8966666666668,136.1,798.10271476936,0.0,2892.6,0.0,0.0,0.0,0.0,0.0
362.4,80.5,521.2547745584686,0.0,2135.0,445.5833333333333,147.5,568.0341918014756,0.0,2024.0,484.57,133.5,682.5230963857559,0.0,2887.4,0.0,0.0,0.0,0.0,0.0
308.05,79.5,351.0690542234296,0.0,1001.0,516.4,153.5,630.5029791100648,0.0,2022.0,582.9233333333334,136.9,758.9957128483812,0.0,3021.8,0.0,0.0,0.0,0.0,0.0
1072.0,1072.0,71.0,1001.0,1143.0,2019.0,2019.0,3.0,2016.0,2022.0,2954.6000000000004,2954.6000000000004,67.20000000000005,2887.4,3021.8,0.0,0.0,0.0,0.0,0.0
422.3333333333333,66.5,565.3188087756815,0.0,2117.0,551.6333333333333,156.5,638.2655133685006,0.0,1791.0,605.3333333333334,135.29999999999998,755.8556966923132,0.0,2416.4,0.0,0.0,0.0,0.0,0.0
459.9,160.5,584.5175132819661,0.0,2112.0,635.0166666666667,217.5,751.6003257863997,0.0,2023.0,741.2199999999999,135.79999999999998,954.3439077537336,0.0,2822.6,0.0,0.0,0.0,0.0,0.0
429.03333333333336,152.0,526.6995970717611,0.0,2100.0,667.7,217.0,765.5781323069949,0.0,2181.0,805.0766666666666,137.0,992.1047357960191,0.0,3058.2,0.0,0.0,0.0,0.0,0.0
443.0,158.5,552.0570018877881,0.0,2086.0,650.4333333333333,217.0,761.5523699800442,0.0,2131.0,760.0333333333333,88.69999999999999,947.9414167318334,0.0,2781.0,0.0,0.0,0.0,0.0,0.0
1422.0,1422.0,177.0,1245.0,1599.0,2156.0,2156.0,25.0,2131.0,2181.0,2919.6,2919.6,138.5999999999999,2781.0,3058.2,0.0,0.0,0.0,0.0,0.0
1422.0,1422.0,177.0,1245.0,1599.0,2156.0,2156.0,25.0,2131.0,2181.0,2919.6,2919.6,138.5999999999999,2781.0,3058.2,0.0,0.0,0.0,0.0,0.0
325.5833333333333,73.5,425.60659815008614,0.0,2089.0,504.05,156.0,645.5266951619171,0.0,2026.0,610.5166666666667,141.3,799.4012628558676,0.0,2722.2,0.0,0.0,0.0,0.0,0.0
1132.0,1132.0,113.0,1019.0,1245.0,2078.5,2078.5,52.5,2026.0,2131.0,2751.6,2751.6,29.40000000000009,2722.2,2781.0,0.0,0.0,0.0,0.0,0.0
350.76666666666665,150.0,403.33081404171884,0.0,1229.0,552.2833333333333,217.0,675.3991188343543,0.0,2021.0,672.0133333333332,184.6,859.9621657310796,0.0,2712.4,0.0,0.0,0.0,0.0,0.0
1031.0,1031.0,12.0,1019.0,1043.0,2023.5,2023.5,2.5,2021.0,2026.0,2717.3,2717.3,4.899999999999864,2712.4,2722.2,0.0,0.0,0.0,0.0,0.0
384.46666666666664,152.0,435.2303783310883,0.0,1249.0,604.9166666666666,217.5,725.6995772279938,0.0,2023.0,752.8399999999999,183.9,946.2788269849432,0.0,2909.6,0.0,0.0,0.0,0.0,0.0
1055.0,1055.0,12.0,1043.0,1067.0,2022.0,2022.0,1.0,2021.0,2023.0,2494.3999999999996,2494.3999999999996,94.89999999999986,2399.5,2589.2999999999997,0.0,0.0,0.0,0.0,0.0
387.18333333333334,152.0,427.13875542836064,0.0,1087.0,698.15,153.5,802.8335407583982,0.0,2022.0,777.0283333333333,131.0,934.9451431486355,0.0,2607.1,0.0,0.0,0.0,0.0,0.0
375.51666666666665,73.5,446.3551833710708,0.0,1254.0,549.4,153.5,705.7829505827788,0.0,2023.0,555.4633333333333,54.05000000000001,767.6734681201089,0.0,2286.1,0.0,0.0,0.0,0.0,0.0
362.6166666666667,152.0,429.35704224132877,0.0,1629.0,625.05,217.0,760.7217499410235,0.0,2179.0,675.3266666666666,136.3,837.188189689484,0.0,2386.0,0.0,0.0,0.0,0.0,0.0
352.03333333333336,72.5,418.3088558575934,0.0,1186.0,582.6833333333333,153.0,737.323843180337,0.0,2025.0,643.95,71.44999999999999,875.8555618175103,0.0,2677.0,0.0,0.0,0.0,0.0,0.0
1075.0,1075.0,36.0,1039.0,1111.0,2019.0,2019.0,1.0,2018.0,2020.0,2531.5,2531.5,145.5,2386.0,2677.0,0.0,0.0,0.0,0.0,0.0
1075.0,1075.0,36.0,1039.0,1111.0,2019.0,2019.0,1.0,2018.0,2020.0,2531.5,2531.5,145.5,2386.0,2677.0,0.0,0.0,0.0,0.0,0.0
339.05,60.5,447.77414042498407,0.0,1670.0,522.5,20.0,737.3745203987817,0.0,2226.0,544.2750001666666,5e-06,846.6609467157294,0.0,2644.1,0.0,0.0,0.0,0.0,0.0
384.48333333333335,81.5,445.32315950205077,0.0,1347.0,605.7833333333333,153.0,725.3405198403177,0.0,2130.0,639.2316666666666,57.299999999999955,821.0893669371333,0.0,2593.6,0.0,0.0,0.0,0.0,0.0
